"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2020-07-01,"Sud Kivu","Fizi","current","all",853637,1
"2",2020-07-01,"Sud Kivu","Fizi","current","3+",384136,0.45
"3",2020-07-01,"Sud Kivu","Fizi","current","1",170727,0.2
"4",2020-07-01,"Sud Kivu","Fizi","current","2",298773,0.35
"5",2020-07-01,"Sud Kivu","Fizi","current","3",213409,0.25
"6",2020-07-01,"Sud Kivu","Fizi","current","4",170727,0.2
"7",2020-07-01,"Sud Kivu","Fizi","current","5",0,0
"8",2020-07-01,"Sud Kivu","Shabunda","current","all",661461,1
"9",2020-07-01,"Sud Kivu","Shabunda","current","3+",330730,0.5
"10",2020-07-01,"Sud Kivu","Shabunda","current","1",66146,0.1
"11",2020-07-01,"Sud Kivu","Shabunda","current","2",264584,0.4
"12",2020-07-01,"Sud Kivu","Shabunda","current","3",231511,0.35
"13",2020-07-01,"Sud Kivu","Shabunda","current","4",99219,0.15
"14",2020-07-01,"Sud Kivu","Shabunda","current","5",0,0
"15",2020-07-01,"Sud Kivu","Kalehe","current","all",951797,1
"16",2020-07-01,"Sud Kivu","Kalehe","current","3+",428308,0.45
"17",2020-07-01,"Sud Kivu","Kalehe","current","1",190359,0.2
"18",2020-07-01,"Sud Kivu","Kalehe","current","2",333129,0.35
"19",2020-07-01,"Sud Kivu","Kalehe","current","3",237949,0.25
"20",2020-07-01,"Sud Kivu","Kalehe","current","4",190359,0.2
"21",2020-07-01,"Sud Kivu","Kalehe","current","5",0,0
"22",2020-07-01,"Sud Kivu","Mwenga","current","all",822402,1
"23",2020-07-01,"Sud Kivu","Mwenga","current","3+",205600,0.25
"24",2020-07-01,"Sud Kivu","Mwenga","current","1",164480,0.2
"25",2020-07-01,"Sud Kivu","Mwenga","current","2",452321,0.55
"26",2020-07-01,"Sud Kivu","Mwenga","current","3",164480,0.2
"27",2020-07-01,"Sud Kivu","Mwenga","current","4",41120,0.05
"28",2020-07-01,"Sud Kivu","Mwenga","current","5",0,0
"29",2020-07-01,"Sud Kivu","Bukavu","current","all",968500,1
"30",2020-07-01,"Sud Kivu","Bukavu","current","3+",145275,0.15
"31",2020-07-01,"Sud Kivu","Bukavu","current","1",435825,0.45
"32",2020-07-01,"Sud Kivu","Bukavu","current","2",387400,0.4
"33",2020-07-01,"Sud Kivu","Bukavu","current","3",145275,0.15
"34",2020-07-01,"Sud Kivu","Bukavu","current","4",0,0
"35",2020-07-01,"Sud Kivu","Bukavu","current","5",0,0
"36",2020-07-01,"Sud Kivu","Kabare","current","all",840301,1
"37",2020-07-01,"Sud Kivu","Kabare","current","3+",252090,0.3
"38",2020-07-01,"Sud Kivu","Kabare","current","1",168060,0.2
"39",2020-07-01,"Sud Kivu","Kabare","current","2",420151,0.5
"40",2020-07-01,"Sud Kivu","Kabare","current","3",210075,0.25
"41",2020-07-01,"Sud Kivu","Kabare","current","4",42015,0.05
"42",2020-07-01,"Sud Kivu","Kabare","current","5",0,0
"43",2020-07-01,"Sud Kivu","Idjwi","current","all",287940,1
"44",2020-07-01,"Sud Kivu","Idjwi","current","3+",57588,0.2
"45",2020-07-01,"Sud Kivu","Idjwi","current","1",86382,0.3
"46",2020-07-01,"Sud Kivu","Idjwi","current","2",143970,0.5
"47",2020-07-01,"Sud Kivu","Idjwi","current","3",57588,0.2
"48",2020-07-01,"Sud Kivu","Idjwi","current","4",0,0
"49",2020-07-01,"Sud Kivu","Idjwi","current","5",0,0
"50",2020-07-01,"Sud Kivu","Walungu","current","all",772956,1
"51",2020-07-01,"Sud Kivu","Walungu","current","3+",231887,0.3
"52",2020-07-01,"Sud Kivu","Walungu","current","1",231887,0.3
"53",2020-07-01,"Sud Kivu","Walungu","current","2",309182,0.4
"54",2020-07-01,"Sud Kivu","Walungu","current","3",154591,0.2
"55",2020-07-01,"Sud Kivu","Walungu","current","4",77296,0.1
"56",2020-07-01,"Sud Kivu","Walungu","current","5",0,0
"57",2020-07-01,"Sud Kivu","Uvira","current","all",870290,1
"58",2020-07-01,"Sud Kivu","Uvira","current","3+",348117,0.4
"59",2020-07-01,"Sud Kivu","Uvira","current","1",217573,0.25
"60",2020-07-01,"Sud Kivu","Uvira","current","2",304602,0.35
"61",2020-07-01,"Sud Kivu","Uvira","current","3",217573,0.25
"62",2020-07-01,"Sud Kivu","Uvira","current","4",130544,0.15
"63",2020-07-01,"Sud Kivu","Uvira","current","5",0,0
