Month of Analysis,Year of Analysis,Total country population,Validity period,From,To,Phase_severity,Number affected,Percentage affected
April,2023,109569000,projected,1/1/2023,6/30/2023,all,102971764,1
April,2023,109569000,projected,1/1/2023,6/30/2023,3+,25840744,0.25
April,2023,109569000,projected,1/1/2023,6/30/2023,1,30289024,0.29
April,2023,109569000,projected,1/1/2023,6/30/2023,2,46841996,0.45
April,2023,109569000,projected,1/1/2023,6/30/2023,3,22459941,0.22
April,2023,109569000,projected,1/1/2023,6/30/2023,4,3380803,0.03
April,2023,109569000,projected,1/1/2023,6/30/2023,5,0,0
July,2022,109569000,current,7/1/2022,12/31/2022,all,102971764,1
July,2022,109569000,current,7/1/2022,12/31/2022,3+,26429377,0.26
July,2022,109569000,current,7/1/2022,12/31/2022,1,31653557,0.31
July,2022,109569000,current,7/1/2022,12/31/2022,2,44888830,0.44
July,2022,109569000,current,7/1/2022,12/31/2022,3,22597681,0.22
July,2022,109569000,current,7/1/2022,12/31/2022,4,3831695,0.04
July,2022,109569000,current,7/1/2022,12/31/2022,5,0,0
July,2022,109569000,projected,1/1/2023,6/30/2023,all,102971764,1
July,2022,109569000,projected,1/1/2023,6/30/2023,3+,24520458,0.24
July,2022,109569000,projected,1/1/2023,6/30/2023,1,31259083,0.3
July,2022,109569000,projected,1/1/2023,6/30/2023,2,47192223,0.46
July,2022,109569000,projected,1/1/2023,6/30/2023,3,21707327,0.21
July,2022,109569000,projected,1/1/2023,6/30/2023,4,2813131,0.03
July,2022,109569000,projected,1/1/2023,6/30/2023,5,0,0
September,2021,115195751,current,9/1/2021,12/31/2021,all,102259069,1
September,2021,115195751,current,9/1/2021,12/31/2021,3+,27020164,0.26
September,2021,115195751,current,9/1/2021,12/31/2021,1,30793333,0.3
September,2021,115195751,current,9/1/2021,12/31/2021,2,44445573,0.43
September,2021,115195751,current,9/1/2021,12/31/2021,3,20915406,0.2
September,2021,115195751,current,9/1/2021,12/31/2021,4,6104757,0.06
September,2021,115195751,current,9/1/2021,12/31/2021,5,0,0
September,2021,115195751,projected,1/1/2022,6/30/2022,all,105251041,1
September,2021,115195751,projected,1/1/2022,6/30/2022,3+,25879508,0.25
September,2021,115195751,projected,1/1/2022,6/30/2022,1,31540609,0.3
September,2021,115195751,projected,1/1/2022,6/30/2022,2,47830924,0.45
September,2021,115195751,projected,1/1/2022,6/30/2022,3,20463608,0.2
September,2021,115195751,projected,1/1/2022,6/30/2022,4,5415900,0.05
September,2021,115195751,projected,1/1/2022,6/30/2022,5,0,0
February,2021,105000000,current,2/1/2021,7/31/2021,all,96032609,1
February,2021,105000000,current,2/1/2021,7/31/2021,3+,27262321,0.28
February,2021,105000000,current,2/1/2021,7/31/2021,1,27991119,0.29
February,2021,105000000,current,2/1/2021,7/31/2021,2,40779169,0.42
February,2021,105000000,current,2/1/2021,7/31/2021,3,20533697,0.21
February,2021,105000000,current,2/1/2021,7/31/2021,4,6728624,0.07
February,2021,105000000,current,2/1/2021,7/31/2021,5,0,0
February,2021,105000000,projected,8/1/2021,12/31/2021,all,96032609,1
February,2021,105000000,projected,8/1/2021,12/31/2021,3+,26178635,0.27
February,2021,105000000,projected,8/1/2021,12/31/2021,1,27651998,0.29
February,2021,105000000,projected,8/1/2021,12/31/2021,2,42201977,0.44
February,2021,105000000,projected,8/1/2021,12/31/2021,3,20560601,0.21
February,2021,105000000,projected,8/1/2021,12/31/2021,4,5618034,0.06
February,2021,105000000,projected,8/1/2021,12/31/2021,5,0,0
July,2020,103199000,current,7/1/2020,12/31/2020,all,66665234,1
July,2020,103199000,current,7/1/2020,12/31/2020,3+,21834710,0.33
July,2020,103199000,current,7/1/2020,12/31/2020,1,15806397,0.24
July,2020,103199000,current,7/1/2020,12/31/2020,2,29024127,0.44
July,2020,103199000,current,7/1/2020,12/31/2020,3,16131386,0.24
July,2020,103199000,current,7/1/2020,12/31/2020,4,5703324,0.09
July,2020,103199000,current,7/1/2020,12/31/2020,5,0,0
July,2020,103199000,projected,1/1/2021,6/30/2021,all,66665234,1
July,2020,103199000,projected,1/1/2021,6/30/2021,3+,19616782,0.29
July,2020,103199000,projected,1/1/2021,6/30/2021,1,16795375,0.25
July,2020,103199000,projected,1/1/2021,6/30/2021,2,30253077,0.45
July,2020,103199000,projected,1/1/2021,6/30/2021,3,14741313,0.22
July,2020,103199000,projected,1/1/2021,6/30/2021,4,4875469,0.07
July,2020,103199000,projected,1/1/2021,6/30/2021,5,0,0
June,2019,86791000,current,7/1/2019,12/31/2019,all,59872947,1
June,2019,86791000,current,7/1/2019,12/31/2019,3+,15577676,0.26
June,2019,86791000,current,7/1/2019,12/31/2019,1,17264472,0.29
June,2019,86791000,current,7/1/2019,12/31/2019,2,27030799,0.45
June,2019,86791000,current,7/1/2019,12/31/2019,3,11660505,0.19
June,2019,86791000,current,7/1/2019,12/31/2019,4,3917171,0.07
June,2019,86791000,current,7/1/2019,12/31/2019,5,0,0
June,2019,86791000,projected,1/1/2020,5/31/2020,all,48077164,1
June,2019,86791000,projected,1/1/2020,5/31/2020,3+,13561717,0.28
June,2019,86791000,projected,1/1/2020,5/31/2020,1,13529407,0.28
June,2019,86791000,projected,1/1/2020,5/31/2020,2,20986039,0.44
June,2019,86791000,projected,1/1/2020,5/31/2020,3,9925921,0.21
June,2019,86791000,projected,1/1/2020,5/31/2020,4,3635796,0.07
June,2019,86791000,projected,1/1/2020,5/31/2020,5,0,0
